,address,long,lat,data_url,price_$CAN,beds,baths,sqft,type
28,"No address available, Toronto, Ontario",-79.383403,43.775282,/CA/Home-For-Sale/ON/Toronto/Bayview-Village/No-address-available/85781258.html,"$3,858,000 CAD",4 Beds,6 Baths,--,Residential
29,"1070 Progress Ave Toronto Ontario M1B0C5, Toronto, Ontario",-79.209,43.8129,/CA/Home-For-Sale/ON/Toronto/Malvern/1070-Progress-Ave-Toronto-Ontario-M1B0C5/78764665.html,"$489,000 CAD",2 Beds,2 Baths,--,Residential
30,"92 King St E, Toronto, Ontario",-79.37495,43.650055,/CA/Condo-For-Sale/ON/Toronto/Old-Town/92-King-St-E/85604938.html,"$599,999 CAD",2 Beds,1 Bath,720 Sqft,Condo
31,"61 Jim Baird Mews Toronto Ontario M3L0C3, Toronto, Ontario",-79.521914,43.727393,/CA/Home-For-Sale/ON/Toronto/Downsview/61-Jim-Baird-Mews-Toronto-Ontario-M3L0C3/82440670.html,"$639,000 CAD",4 Beds,4 Baths,--,Residential
32,"2794 Eglinton Ave E Toronto Ontario M1J 2C8, Toronto, Ontario",-79.242701,43.73816,/CA/Home-For-Sale/ON/Toronto/Bendale/2794-Eglinton-Ave-E-Toronto-Ontario-M1J-2C8/82071673.html,"$689,000 CAD",--,--,--,Residential
33,"51 E. Liberty Street, Toronto, Ontario",-79.412811,43.638563,/CA/Condo-For-Sale/ON/Toronto/King-West-Village/51-E-Liberty-Street/86152810.html,"$543,000 CAD",1 Bed,1 Bath,--,Condo
34,"50 Lynn Williams St, Toronto, Ontario",-79.415185,43.639644,/CA/Home-For-Sale/ON/Toronto/King-West-Village/50-Lynn-Williams-St/80813667.html,"$499,900 CAD",1 Bed,1 Bath,675 Sqft,Residential
35,"14 Highwood Ave., Toronto, Ontario",-79.291808,43.742404,/CA/Home-For-Sale/ON/Toronto/Wexford/14-Highwood-Ave/85825401.html,"$749,000 CAD",3 Beds,2 Baths,--,Residential
36,"150 East Liberty Street, Toronto, Ontario",-79.416315,43.638776,/CA/Condo-For-Sale/ON/Toronto/King-West-Village/150-East-Liberty-Street/85972716.html,"$499,999 CAD",1 Bed,1 Bath,--,Condo
37,"121 Mcmahon Dr, Toronto, Ontario",-79.370623,43.767726,/CA/Home-For-Sale/ON/Toronto/Bayview-Village/121-Mcmahon-Dr/86092830.html,"$479,000 CAD",1 Bed,1 Bath,--,Apartment
38,"15 Iceboat Terr  Toronto Ontario M5V4A5, Toronto, Ontario",-79.397807,43.640311,/CA/Home-For-Sale/ON/Toronto/Cityplace/15-Iceboat-Terr-Toronto-Ontario-M5V4A5/82487055.html,"$615,000 CAD",1 Bed,1 Bath,--,Apartment
39,"One Delisle, Toronto, Ontario",-79.396728,43.68899,/CA/Condo-For-Sale/ON/Toronto/Deer-Park/One-Delisle/86094439.html,"$500,000 CAD",--,--,--,Condo
40,"85 Queens Wharf Rd Toronto Ontario M5V0J9, Toronto, Ontario",-79.398839,43.638833,/CA/Home-For-Sale/ON/Toronto/Cityplace/85-Queens-Wharf-Rd-Toronto-Ontario-M5V0J9/86315076.html,"$700,000 CAD",1 Bed,1 Bath,--,Apartment
41,"55 Dennett Dr, Toronto, Ontario",-79.273111,43.792042,/CA/Home-For-Sale/ON/Toronto/Agincourt/55-Dennett-Dr/86019485.html,"$1,999,888 CAD",4 Beds,5 Baths,--,Residential
42,"8 Mercer St toronto, Toronto, Ontario",-79.389928,43.645937,/CA/Home-For-Sale/ON/Toronto/Entertainment-District/8-Mercer-St-toronto/84109609.html,"$729,000 CAD",--,--,--,Residential
43,"3740 Don Mills Rd Toronto Ontario M2H3J2, Toronto, Ontario",-79.353705,43.801566,/CA/Home-For-Sale/ON/Toronto/Hillcrest-Village/3740-Don-Mills-Rd-Toronto-Ontario-M2H3J2/84966302.html,"$549,999 CAD",--,--,--,Residential
44,"31 Jane Osler Blvd, Toronto, Ontario",-79.459742,43.723895,/CA/Home-For-Sale/ON/Toronto/Downsview/31-Jane-Osler-Blvd/85319471.html,"$2,190,000 CAD",5 Beds,4 Baths,3000 Sqft,Residential
45,"18 Kenaston Gdns, Toronto, Ontario",-79.386148,43.76582,/CA/Home-For-Sale/ON/Toronto/Bayview-Village/18-Kenaston-Gdns/85865991.html,"$630,000 CAD",2 Beds,2 Baths,900 Sqft,Apartment
46,"1185 The Queensway Ave, Toronto, Ontario",-79.521674,43.62177,/CA/Condo-For-Sale/ON/Toronto/The-Queensway/1185-The-Queensway-Ave/85741960.html,"$525,000 CAD",1 Bed,1 Bath,--,Condo
47,"24 Cedar Brae Blvd, Toronto, Ontario",-79.233552,43.742971,/CA/Home-For-Sale/ON/Toronto/Woburn/24-Cedar-Brae-Blvd/85866100.html,"$1,699,000 CAD",4 Beds,6 Baths,--,Residential
48,"18 Kenaston Gdns, Toronto, Ontario",-79.386148,43.76582,/CA/Home-For-Sale/ON/Toronto/Bayview-Village/18-Kenaston-Gdns/85825572.html,"$569,000 CAD",1 Bed,2 Baths,--,Apartment
49,"85 Queens Wharf Rd Toronto Ontario M5V0J9, Toronto, Ontario",-79.398839,43.638833,/CA/Home-For-Sale/ON/Toronto/Cityplace/85-Queens-Wharf-Rd-Toronto-Ontario-M5V0J9/86315076.html,"$700,000 CAD",1 Bed,1 Bath,--,Apartment
50,"88 Blue Jays Way, Toronto, Ontario",-79.392318,43.645475,/CA/Home-For-Sale/ON/Toronto/Entertainment-District/88-Blue-Jays-Way/84109631.html,"$729,900 CAD",--,--,--,Residential
51,"2433 Dufferin Street, York, ON, Toronto, Ontario",-79.450912,43.699124,/CA/Condo-For-Sale/ON/Toronto/Fairbank/2433-Dufferin-Street-York-ON/81538732.html,"$389,900 CAD",--,--,--,Condo
52,"155 Yorkville Avenue, Toronto, Ontario",-79.394354,43.670266,/CA/Condo-For-Sale/ON/Toronto/Yorkville/155-Yorkville-Avenue/85825716.html,"$560,000 CAD",1 Bed,1 Bath,--,Condo
53,"36 Park Lawn Rd., Toronto, Ontario",-79.484151,43.623604,/CA/Condo-For-Sale/ON/Toronto/Mimico/36-Park-Lawn-Rd/86092771.html,"$613,801 CAD",1 Bed,1 Bath,--,Condo
54,"94 Purpledusk Tr, Toronto, Ontario",-79.2083023,43.7849766,/CA/Home-For-Sale/ON/Toronto/Seven-Oaks-Morningside/94-Purpledusk-Tr/81603528.html,"$799,000 CAD",4 Beds,3 Baths,--,Residential
55,"65 Bremner Blvd., Toronto, Ontario",-79.380647,43.642914,/CA/Condo-For-Sale/ON/Toronto/Financial-District/65-Bremner-Blvd/86230459.html,"$628,000 CAD",1 Bed,1 Bath,--,Condo
56,"15 Iceboat Terr  Toronto Ontario M5V4A5, Toronto, Ontario",-79.397807,43.640311,/CA/Home-For-Sale/ON/Toronto/Cityplace/15-Iceboat-Terr-Toronto-Ontario-M5V4A5/82487055.html,"$615,000 CAD",1 Bed,1 Bath,--,Apartment
57,"2794 Eglinton Ave E Toronto Ontario M1J 2C8, Toronto, Ontario",-79.242701,43.73816,/CA/Home-For-Sale/ON/Toronto/Bendale/2794-Eglinton-Ave-E-Toronto-Ontario-M1J-2C8/82071673.html,"$689,000 CAD",--,--,--,Residential
58,"55 Dennett Dr, Toronto, Ontario",-79.273111,43.792042,/CA/Home-For-Sale/ON/Toronto/Agincourt/55-Dennett-Dr/86019485.html,"$1,999,888 CAD",4 Beds,5 Baths,--,Residential
59,"209 Fort York Blvd  Toronto Ontario M5V4A1, Toronto, Ontario",-79.404733,43.637167,/CA/Home-For-Sale/ON/Toronto/Fort-York/209-Fort-York-Blvd-Toronto-Ontario-M5V4A1/84966022.html,"$579,000 CAD",1 Bed,1 Bath,--,Apartment
60,"105 The Queensway Ave Toronto Ontario M6S 5B5, Toronto, Ontario",-79.471248,43.635791,/CA/Home-For-Sale/ON/Toronto/Swansea/105-The-Queensway-Ave-Toronto-Ontario-M6S-5B5/85867995.html,"$589,000 CAD",1 Bed,2 Baths,--,Apartment
61,"637 Lake Shore Blvd., Toronto, Ontario",-79.402086,43.635311,/CA/Condo-For-Sale/ON/Toronto/Fort-York/637-Lake-Shore-Blvd/86230105.html,"$700,000 CAD",1 Bed,1 Bath,--,Condo
62,"160 Flemington Rd, Toronto, Ontario",-79.448226,43.723148,/CA/Home-For-Sale/ON/Toronto/Downsview/160-Flemington-Rd/80557471.html,"$599,000 CAD",2 Beds,2 Baths,--,Apartment
63,"830 Lawrence Ave West, Toronto, Ontario",-79.45384,43.714246,/CA/Home-For-Sale/ON/Toronto/Glen-Park/830-Lawrence-Ave-West/83736653.html,"$524,900 CAD",1 Bed,1 Bath,--,Apartment
64,"830 Lawrence Ave W, Toronto, Ontario",-79.45384,43.714246,/CA/Home-For-Sale/ON/Toronto/Glen-Park/830-Lawrence-Ave-W/83736627.html,"$479,000 CAD",1 Bed,1 Bath,--,Apartment
65,"80 Harrison Garden Blvd Toronto Ontario M2N7E3, Toronto, Ontario",-79.405693,43.75634,/CA/Home-For-Sale/ON/Toronto/Willowdale/80-Harrison-Garden-Blvd-Toronto-Ontario-M2N7E3/86092706.html,"$645,000 CAD",2 Beds,2 Baths,--,Apartment
66,"61 Jim Baird Mews Toronto Ontario M3L0C3, Toronto, Ontario",-79.521914,43.727393,/CA/Home-For-Sale/ON/Toronto/Downsview/61-Jim-Baird-Mews-Toronto-Ontario-M3L0C3/82440670.html,"$639,000 CAD",4 Beds,4 Baths,--,Residential
67,"One Delisle, Toronto, Ontario",-79.396728,43.68899,/CA/Condo-For-Sale/ON/Toronto/Deer-Park/One-Delisle/86094439.html,"$500,000 CAD",--,--,--,Condo
68,"1075 Ellesmere Rd # 80, Toronto, Ontario",-79.310846,43.75936,/CA/Home-For-Sale/ON/Toronto/Maryvale/1075-Ellesmere-Rd-80/84741838.html,"$880,000 CAD",3 Beds,3 Baths,--,Residential
69,"1185 The Queensway Ave, Toronto, Ontario",-79.521674,43.62177,/CA/Condo-For-Sale/ON/Toronto/The-Queensway/1185-The-Queensway-Ave/85741960.html,"$525,000 CAD",1 Bed,1 Bath,--,Condo
70,"8 Silver Bell Grve # 1003, Toronto, Ontario",-79.3849,43.6529,/CA/Condo-For-Sale/ON/Toronto/Bay-Street-Corridor/8-Silver-Bell-Grve-1003/86557572.html,"$399,900 CAD",2 Beds,2 Baths,--,Condo
71,"30 Ordnance St, Toronto, Ontario",-79.409769,43.639732,/CA/Home-For-Sale/ON/Toronto/Fort-York/30-Ordnance-St/85649794.html,"$549,900 CAD",1 Bed,1 Bath,600 Sqft,Residential
72,"14 Highwood Ave., Toronto, Ontario",-79.291808,43.742404,/CA/Home-For-Sale/ON/Toronto/Wexford/14-Highwood-Ave/85825401.html,"$749,000 CAD",3 Beds,2 Baths,--,Residential
73,"2794 Eglinton Ave E Toronto Ontario M1J 2C8, Toronto, Ontario",-79.242701,43.73816,/CA/Home-For-Sale/ON/Toronto/Bendale/2794-Eglinton-Ave-E-Toronto-Ontario-M1J-2C8/82071673.html,"$689,000 CAD",--,--,--,Residential
74,"17 Zorra St Toronto Ontario M8Z4Z6, Toronto, Ontario",-79.521545,43.621156,/CA/Home-For-Sale/ON/Toronto/The-Queensway/17-Zorra-St-Toronto-Ontario-M8Z4Z6/80549771.html,"$499,990 CAD",2 Beds,2 Baths,--,Apartment
75,"No address available, Toronto, Ontario",-79.2312375,43.7761614,/CA/Home-For-Sale/ON/Toronto/Curran-Hall/No-address-available/80198034.html,"$439,990 CAD",1 Bed,1 Bath,--,Apartment
76,"8 the Esplanade ave, Toronto, Ontario",-79.376349,43.646236,/CA/Condo-For-Sale/ON/Toronto/Downtown-Toronto/St-Lawrence/8-the-Esplanade-ave/72343174.html,"$624,900 CAD",1 Bed,1 Bath,602 Sqft,Condo
77,"637 Lake Shore Blvd., Toronto, Ontario",-79.402086,43.635311,/CA/Condo-For-Sale/ON/Toronto/Fort-York/637-Lake-Shore-Blvd/86230105.html,"$700,000 CAD",1 Bed,1 Bath,--,Condo
78,"3740 Don Mills Rd Toronto Ontario M2H3J2, Toronto, Ontario",-79.353705,43.801566,/CA/Home-For-Sale/ON/Toronto/Hillcrest-Village/3740-Don-Mills-Rd-Toronto-Ontario-M2H3J2/84966302.html,"$549,999 CAD",--,--,--,Residential
79,"18 Kenaston Gdns, Toronto, Ontario",-79.386148,43.76582,/CA/Home-For-Sale/ON/Toronto/Bayview-Village/18-Kenaston-Gdns/85825572.html,"$569,000 CAD",1 Bed,2 Baths,--,Apartment
80,"105 The Queensway Ave Toronto Ontario M6S 5B5, Toronto, Ontario",-79.471248,43.635791,/CA/Home-For-Sale/ON/Toronto/Swansea/105-The-Queensway-Ave-Toronto-Ontario-M6S-5B5/85867995.html,"$589,000 CAD",1 Bed,2 Baths,--,Apartment
81,"85 Queens Wharf Rd Toronto Ontario M5V0J9, Toronto, Ontario",-79.398839,43.638833,/CA/Home-For-Sale/ON/Toronto/Cityplace/85-Queens-Wharf-Rd-Toronto-Ontario-M5V0J9/86315076.html,"$700,000 CAD",1 Bed,1 Bath,--,Apartment
82,"18 Kenaston Gdns, Toronto, Ontario",-79.386148,43.76582,/CA/Home-For-Sale/ON/Toronto/Bayview-Village/18-Kenaston-Gdns/85865991.html,"$630,000 CAD",2 Beds,2 Baths,900 Sqft,Apartment
83,"222 The Esplanade, Toronto, Ontario",-79.365656,43.649748,/CA/Condo-For-Sale/ON/Toronto/Downtown-Toronto/St-Lawrence/222-The-Esplanade/85530400.html,"$610,000 CAD",2 Beds,--,--,Condo
84,"19 Singer Crt, Toronto, Ontario",-79.369645,43.769466,/CA/Home-For-Sale/ON/Toronto/Bayview-Village/19-Singer-Crt/86092820.html,"$486,000 CAD",1 Bed,1 Bath,540 Sqft,Apartment
85,"18 Cartwright Ave, Toronto, Ontario",-79.458503,43.723713,/CA/Home-For-Sale/ON/Toronto/Downsview/18-Cartwright-Ave/84871731.html,"$1,549,000 CAD",3 Beds,3 Baths,--,Residential
86,"No address available, Toronto, Ontario",-79.383403,43.775282,/CA/Home-For-Sale/ON/Toronto/Bayview-Village/No-address-available/85781258.html,"$3,858,000 CAD",4 Beds,6 Baths,--,Residential
87,"1075 Ellesmere Rd # 80, Toronto, Ontario",-79.310846,43.75936,/CA/Home-For-Sale/ON/Toronto/Maryvale/1075-Ellesmere-Rd-80/84741838.html,"$880,000 CAD",3 Beds,3 Baths,--,Residential
88,"51 E. Liberty Street, Toronto, Ontario",-79.412811,43.638563,/CA/Condo-For-Sale/ON/Toronto/King-West-Village/51-E-Liberty-Street/86152810.html,"$543,000 CAD",1 Bed,1 Bath,--,Condo
89,"88 Blue Jays Way, Toronto, Ontario",-79.392318,43.645475,/CA/Home-For-Sale/ON/Toronto/Entertainment-District/88-Blue-Jays-Way/84109631.html,"$729,900 CAD",--,--,--,Residential
90,"61 Jim Baird Mews Toronto Ontario M3L0C3, Toronto, Ontario",-79.521914,43.727393,/CA/Home-For-Sale/ON/Toronto/Downsview/61-Jim-Baird-Mews-Toronto-Ontario-M3L0C3/82440670.html,"$639,000 CAD",4 Beds,4 Baths,--,Residential
91,"5101 Dundas St W  , Toronto, Ontario",-79.53199,43.644824,/CA/Condo-For-Sale/ON/Toronto/Islington-Village/5101-Dundas-St-W-/87145452.html,"$689,000 CAD",2 Beds,2 Baths,--,Condo
92,"118 MERCHANTS' WHARF 106, Toronto, Ontario",-79.3636141,43.6447377,/CA/Condo-For-Sale/ON/Toronto/Downtown-Toronto/St-Lawrence/118-MERCHANTS-WHARF/87168635.html,"$2,800,000 CAD",3 Beds,3 Baths,--,Condo
93,"36 LEE CENTRE DR 3209, Toronto, Ontario",-79.2472126,43.7816707,/CA/Condo-For-Sale/ON/Toronto/Woburn/36-LEE-CENTRE-DR/87169102.html,"$499,000 CAD",2 Beds,2 Baths,--,Condo
94,"141 YEOMANS RD, Toronto, Ontario",-79.4425909,43.7537447,/CA/Home-For-Sale/ON/Toronto/Wilson-Heights-Dublin-Heights-Clanton-Park/141-YEOMANS-RD/86212931.html,"$2,599,000 CAD",5 Beds,5 Baths,--,Single family
95,"91 MUIR DR 64, Toronto, Ontario",-79.2113521,43.7432664,/CA/Condo-For-Sale/ON/Toronto/Scarborough-Village/91-MUIR-DR/87170077.html,"$488,000 CAD",4 Beds,3 Baths,--,Condo
96,"17 TETTENHALL RD, Toronto, Ontario",-79.544903,43.6758975,/CA/Home-For-Sale/ON/Toronto/Princess-Gardens/17-TETTENHALL-RD/86296779.html,"$2,149,000 CAD",6 Beds,4 Baths,--,Single family
97,"230 DUNVEGAN RD, Toronto, Ontario",-79.4122888,43.6983955,/CA/Home-For-Sale/ON/Toronto/Midtown-Toronto/Forest-Hill/230-DUNVEGAN-RD/87130869.html,"$5,595,000 CAD",7 Beds,5 Baths,--,Single family
98,"65 BREMNER  BLVD 3303, Toronto, Ontario",-79.380732,43.6428614,/CA/Condo-For-Sale/ON/Toronto/Financial-District/65-BREMNER-BLVD/87168634.html,"$599,000 CAD",--,1 Bath,--,Condo
99,"812 LANSDOWNE AVENUE UNIT 117, Toronto, Ontario",-79.4476835,43.665271,/CA/Condo-For-Sale/ON/Toronto/Junction-Triangle/812-LANSDOWNE-AVENUE-UNIT/87169231.html,"$499,900 CAD",1 Bed,1 Bath,--,Condo
100,"18 LEE CENTRE DR Ph202, Toronto, Ontario",-79.2485509,43.7808733,/CA/Condo-For-Sale/ON/Toronto/Woburn/18-LEE-CENTRE-DR/87183645.html,"$575,000 CAD",4 Beds,3 Baths,--,Condo
101,"77 GLENCAIRN AVE, Toronto, Ontario",-79.4047253,43.7173468,/CA/Home-For-Sale/ON/Toronto/Lytton-Park/77-GLENCAIRN-AVE/87170022.html,"$1,695,000 CAD",5 Beds,4 Baths,--,Single family
102,"1 BLOOR ST E 5104, Toronto, Ontario",-79.3861581,43.669963,/CA/Condo-For-Sale/ON/Toronto/Church-and-Wellesley/1-BLOOR-ST-E/87183612.html,"$1,498,888 CAD",2 Beds,2 Baths,--,Condo
103,"25 PAINSWICK CRES, Toronto, Ontario",-79.3301187,43.779948,/CA/Home-For-Sale/ON/Toronto/Pleasantview/25-PAINSWICK-CRES/87170016.html,"$899,888 CAD",4 Beds,2 Baths,--,Single family
104,"155 BEECROFT RD 303, Toronto, Ontario",-79.4135938,43.7655711,/CA/Condo-For-Sale/ON/Toronto/Lansing/155-BEECROFT-RD/87168644.html,"$474,999 CAD",1 Bed,1 Bath,--,Condo
105,"250 Wellington St W  , Toronto, Ontario",-79.390868,43.645072,/CA/Condo-For-Sale/ON/Toronto/Entertainment-District/250-Wellington-St-W-/87145406.html,"$499,000 CAD",1 Bed,1 Bath,--,Condo
106,"139 BALMORAL AVE, Toronto, Ontario",-79.3993151,43.6843551,/CA/Home-For-Sale/ON/Toronto/Deer-Park/139-BALMORAL-AVE/87170019.html,"$2,599,000 CAD",3 Beds,3 Baths,--,Single family
107,"6 Eva Rd  Toronto Ontario  , Toronto, Ontario",-79.3849,43.6529,/CA/Condo-For-Sale/ON/Toronto/Bay-Street-Corridor/6-Eva-Rd-Toronto-Ontario-/87145402.html,"$489,900 CAD",1 Bed,1 Bath,--,Condo
108,"37 INVERMARGE DR, Toronto, Ontario",-79.1555147,43.7795126,/CA/Home-For-Sale/ON/Toronto/Centennial-Port-Union/37-INVERMARGE-DR/87130920.html,"$1,199,800 CAD",5 Beds,4 Baths,--,Single family
109,"84 RUSHOLME RD, Toronto, Ontario",-79.4282783,43.6529355,/CA/Home-For-Sale/ON/Toronto/Dufferin-Grove/84-RUSHOLME-RD/87170027.html,"$2,450,000 CAD",9 Beds,5 Baths,--,Single family
110,"830 Lawrence Ave W, Toronto, Ontario",-79.45384,43.714246,/CA/Condo-For-Sale/ON/Toronto/Glen-Park/830-Lawrence-Ave-W/87170492.html,"$435,000 CAD",--,--,--,Condo
111,"90 Queens Wharf Rd  , Toronto, Ontario",-79.399459,43.638721,/CA/Condo-For-Sale/ON/Toronto/Cityplace/90-Queens-Wharf-Rd-/87145443.html,"$630,000 CAD",1 Bed,1 Bath,--,Condo
112,"2067 Lake Shore Blvd W 1101, Toronto, Ontario",-79.4755778,43.6305531,/CA/Condo-For-Sale/ON/Toronto/Humber-Bay/2067-Lake-Shore-Blvd-W/86729174.html,"$899,000 CAD",3 Beds,2 Baths,--,Condo
113,--,0,0,/CA/Condo-For-Sale/ON/Toronto/3035-FINCH-AVE-W/87183755.html,"$379,000 CAD",2 Beds,1 Bath,--,Condo
114,"70 QUEENS WHARF RD 2603, Toronto, Ontario",-79.3994638,43.6385213,/CA/Condo-For-Sale/ON/Toronto/Cityplace/70-QUEENS-WHARF-RD/87168616.html,"$630,000 CAD",1 Bed,1 Bath,--,Condo
115,"70 DISTILLERY LANE 2406, Toronto, Ontario",-79.3581104,43.6503953,/CA/Condo-For-Sale/ON/Toronto/Distillery-District/70-DISTILLERY-LANE/87169830.html,"$1,149,000 CAD",2 Beds,2 Baths,--,Condo
116,"2 DUNKIRK RD, Toronto, Ontario",-79.3234669,43.6915477,/CA/Home-For-Sale/ON/Toronto/Old-East-York/2-DUNKIRK-RD/87170091.html,"$1,888,000 CAD",4 Beds,5 Baths,--,Single family
117,"49 DUNVEGAN RD, Toronto, Ontario",-79.4050407,43.6877013,/CA/Home-For-Sale/ON/Toronto/Midtown-Toronto/Forest-Hill/49-DUNVEGAN-RD/87183621.html,"$13,998,000 CAD",8 Beds,10 Baths,--,Single family
